SATA Port Test [ V0.1] : 
-------------------------------------- 
Time	Result

2019-08-05 13:45:35--------->PASS

2019-08-05 13:47:47--------->PASS

2019-08-05 13:47:49--------->PASS

2019-08-05 15:30:31--------->PASS

2019-08-05 15:31:15--------->PASS

2019-08-05 15:31:24--------->PASS

2019-08-05 15:31:39--------->PASS

2019-08-05 15:32:36--------->PASS

2019-08-05 15:33:01--------->PASS

2019-08-05 15:33:08--------->PASS

2019-08-05 15:33:09--------->PASS

2019-08-05 15:33:10--------->PASS

2019-08-05 15:33:27--------->PASS

2019-08-05 15:33:28--------->PASS

2019-08-05 15:34:13--------->PASS

2019-08-05 15:34:15--------->PASS

2019-08-05 15:37:28--------->PASS

2019-08-05 15:37:44--------->PASS

2019-08-05 15:40:00--------->PASS

2019-08-05 15:40:05--------->PASS

2019-08-05 15:40:15--------->PASS

2019-08-05 15:40:19--------->PASS

2019-08-05 15:44:58--------->FAIL

2019-08-05 15:45:18--------->FAIL

2019-08-05 15:45:27--------->FAIL

2019-08-05 15:51:53--------->PASS

2019-08-05 15:52:03--------->PASS

2019-08-05 15:53:30--------->PASS

2019-08-05 15:54:03--------->PASS

2019-08-05 15:54:26--------->PASS

2019-08-05 15:54:43--------->PASS

2019-08-05 15:55:28--------->PASS

2019-08-05 15:55:53--------->PASS

2019-08-05 15:56:06--------->PASS

2019-08-05 15:56:46--------->PASS

2019-08-05 15:56:54--------->PASS

2019-08-05 15:58:55--------->PASS

2019-08-05 15:59:04--------->PASS

2019-08-05 15:59:11--------->PASS

2019-08-05 15:59:21--------->PASS

2019-08-05 15:59:28--------->PASS

2019-08-05 16:13:48--------->PASS

2019-08-05 16:17:42--------->PASS

2019-08-05 16:18:01--------->PASS

2019-08-05 16:18:08--------->PASS

2019-08-05 16:18:15--------->FAIL

2019-08-05 16:18:54--------->FAIL

2019-08-05 16:20:44--------->FAIL

2019-08-05 16:20:54--------->FAIL

2019-08-05 16:21:09--------->FAIL

2019-08-05 16:21:21--------->FAIL

2019-08-05 16:21:52--------->FAIL

2019-08-05 16:22:12--------->FAIL

2019-08-05 16:22:17--------->FAIL

2019-08-05 16:22:34--------->FAIL

2019-08-05 16:22:38--------->FAIL

2019-08-05 16:22:51--------->FAIL

2019-08-05 16:23:01--------->FAIL

2019-08-05 16:23:12--------->FAIL

2019-08-05 16:23:25--------->FAIL

2019-08-05 16:23:38--------->PASS
