SATA Port Test [ V0.1] : 
-------------------------------------- 
Time	Result

2019-08-06 09:13:46--------->FAIL

2019-08-06 09:14:53--------->FAIL

2019-08-06 09:15:31--------->FAIL

2019-08-06 09:15:37--------->FAIL

2019-08-06 09:16:29--------->FAIL

2019-08-06 09:16:46--------->PASS

2019-08-06 09:16:54--------->PASS

2019-08-06 09:17:03--------->FAIL

2019-08-06 09:17:22--------->FAIL

2019-08-06 09:18:48--------->PASS

2019-08-06 09:18:54--------->PASS

2019-08-06 09:18:59--------->FAIL

2019-08-06 09:19:06--------->FAIL

2019-08-06 09:19:11--------->PASS

2019-08-06 09:19:12--------->PASS

2019-08-06 09:19:13--------->PASS

2019-08-06 09:31:02--------->PASS

2019-08-06 13:09:39--------->PASS

2019-08-06 13:15:30--------->PASS

2019-08-06 13:15:39--------->PASS

2019-08-06 13:16:07--------->PASS

2019-08-06 13:16:36--------->PASS

2019-08-06 13:16:48--------->PASS

2019-08-06 13:18:13--------->PASS

2019-08-06 13:18:20--------->PASS

2019-08-06 13:18:35--------->PASS

2019-08-06 13:18:42--------->PASS

2019-08-06 13:19:01--------->PASS

2019-08-06 13:19:04--------->PASS

2019-08-06 13:19:11--------->PASS

2019-08-06 13:19:18--------->FAIL

2019-08-06 13:19:21--------->FAIL

2019-08-06 13:19:22--------->FAIL

2019-08-06 13:19:22--------->FAIL

2019-08-06 13:19:23--------->FAIL

2019-08-06 13:19:26--------->PASS

2019-08-06 13:20:40--------->FAIL

2019-08-06 13:20:46--------->PASS

2019-08-06 13:20:48--------->PASS

2019-08-06 13:20:50--------->FAIL

2019-08-06 13:20:54--------->PASS

2019-08-06 13:20:55--------->PASS

2019-08-06 13:20:57--------->FAIL

2019-08-06 13:21:02--------->FAIL

2019-08-06 13:21:04--------->FAIL

2019-08-06 13:21:06--------->PASS

2019-08-06 13:21:06--------->PASS

2019-08-06 13:21:08--------->FAIL

2019-08-06 14:08:42--------->FAIL

2019-08-06 14:08:50--------->PASS
